,database,database_id,uniprot_id,title,organism,taxonomy_id,evidence_level,protein,fold
46,sp,Q3HTN1,VM3SA_TRIST,Zinc metalloproteinase-disintegrin-like stejnihagin-A,Trimeresurus stejnegeri,39682,2,Clustered_Disintegrins,train
47,sp,P0DJH2,VM3AL_TRIAB,Zinc metalloproteinase-disintegrin-like alborhagin (Fragment),Trimeresurus albolabris,8765,1,Clustered_Disintegrins,train
48,sp,O42138,VM3AD_AGKCL,Zinc metalloproteinase-disintegrin-like ACLD,Agkistrodon contortrix laticinctus,2782196,2,Clustered_Disintegrins,train
49,sp,Q805F7,DIDA_AGKCO,Disintegrin acostatin-alpha,Agkistrodon contortrix contortrix,8713,1,Clustered_Disintegrins,train
50,sp,C5H5D4,VM33_BOTAT,Zinc metalloproteinase-disintegrin-like batroxstatin-3 (Fragment),Bothrops atrox,8725,2,Clustered_Disintegrins,train
51,sp,Q0NZX6,VM2JR_BOTJA,Zinc metalloproteinase-disintegrin jararin (Fragment),Bothrops jararaca,8724,2,Clustered_Disintegrins,train
52,sp,O93515,VM2S3_GLOBR,Zinc metalloproteinase-disintegrin salmosin-3 (Fragment),Gloydius brevicauda,3148161,2,Clustered_Disintegrins,train
53,sp,P0C7N3,VM3CR_CROVV,Zinc metalloproteinase-disintegrin-like crovidisin (Fragment),Crotalus viridis viridis,8742,1,Clustered_Disintegrins,train
54,sp,Q0NZX8,VM3B3_BOTJA,Zinc metalloproteinase-disintegrin-like bothrojarin-3 (Fragment),Bothrops jararaca,8724,1,Clustered_Disintegrins,val
55,sp,D5LMJ3,VM3A_NAJAT,Zinc metalloproteinase-disintegrin-like atrase-A,Naja atra,8656,2,Clustered_Disintegrins,train
56,sp,Q0NZX7,VM3B4_BOTJA,Zinc metalloproteinase-disintegrin-like bothrojarin-4 (Fragment),Bothrops jararaca,8724,2,Clustered_Disintegrins,train
57,sp,Q0NZY0,VM3B1_BOTJA,Zinc metalloproteinase-disintegrin-like bothrojarin-1 (Fragment),Bothrops jararaca,8724,2,Clustered_Disintegrins,test
58,sp,P85005,VM3PN_PROSR,Zinc metalloproteinase-disintegrin-like proatherocytin (Fragment),Proatheris superciliaris,110218,1,Clustered_Disintegrins,train
59,sp,C0LZJ5,VM3LC_MACLN,Disintegrin-like leberagin-C,Macrovipera lebetina transmediterranea,384075,1,Clustered_Disintegrins,train
60,sp,Q6T6T3,DID1_BITGA,Disintegrin gabonin-1,Bitis gabonica,8694,1,Clustered_Disintegrins,train
61,sp,Q3BER1,DIS_ECHOC,Disintegrin ocellatusin,Echis ocellatus,99586,1,Clustered_Disintegrins,train
62,sp,Q7ZZM2,DIS_PROJR,Disintegrin jerdostatin,Protobothrops jerdonii,242841,1,Clustered_Disintegrins,train
63,sp,Q076D1,VM31_CRODU,Zinc metalloproteinase-disintegrin-like crotastatin,Crotalus durissus terrificus,8732,2,Clustered_Disintegrins,train
64,sp,P23323,VM2C_PROFL,Disintegrin CTF-II,Protobothrops flavoviridis,88087,1,Clustered_Disintegrins,train
65,sp,P22826,VM2TI_ERIMA,Disintegrin eristicophin,Eristicophis macmahoni,110227,1,Clustered_Disintegrins,train
66,sp,P83658,DIDS_ECHCA,Disintegrin schistatin,Echis carinatus,40353,1,Clustered_Disintegrins,train
67,sp,P82466,VM26B_ECHCS,Disintegrin EC6 subunit beta,Echis carinatus sochureki,124223,1,Clustered_Disintegrins,val
68,sp,P83044,DID8B_CERCE,Disintegrin CC8B,Cerastes cerastes,8697,1,Clustered_Disintegrins,test
69,sp,P0C6A3,DIDBA_ECHML,Disintegrin EMS11A,Echis multisquamatus,93050,1,Clustered_Disintegrins,train
70,sp,P0C6B0,DID5B_MACLO,Disintegrin VLO5B,Macrovipera lebetina obtusa,209528,1,Clustered_Disintegrins,train
71,sp,P0C6A4,DID5B_ECHOC,Disintegrin EO5B,Echis ocellatus,99586,1,Clustered_Disintegrins,train
72,sp,P0DW29,VM2_CROMR,Disintegrin morulustatin (Fragment),Crotalus morulus,2782198,1,Clustered_Disintegrins,train
73,sp,P0C7A8,VM2LB_ECHLE,Disintegrin leucogastin-B,Echis leucogaster,504457,1,Clustered_Disintegrins,train
74,sp,A2CJE5,VM2IA_CROAT,Disintegrin atroxatin (Fragment),Crotalus atrox,8730,2,Clustered_Disintegrins,train
75,tr,A0A8C7E2Y1,A0A8C7E2Y1_NAJNA,Disintegrin and metalloproteinase domain-containing protein 20-like,Naja naja,35670,3,Clustered_Disintegrins,train
76,tr,V8PF09,V8PF09_OPHHA,Disintegrin and metalloproteinase domain-containing protein 20 (Fragment),Ophiophagus hannah,8665,3,Clustered_Disintegrins,test
77,tr,V8NS25,V8NS25_OPHHA,Disintegrin and metalloproteinase domain-containing protein 19 (Fragment),Ophiophagus hannah,8665,3,Clustered_Disintegrins,val
78,tr,A0A8C6YFJ8,A0A8C6YFJ8_NAJNA,Disintegrin and metalloproteinase domain-containing protein 21-like,Naja naja,35670,3,Clustered_Disintegrins,train
79,tr,A0A8C6YBV3,A0A8C6YBV3_NAJNA,Disintegrin and metalloproteinase domain-containing protein 21-like,Naja naja,35670,3,Clustered_Disintegrins,test
80,tr,V8P5I5,V8P5I5_OPHHA,Disintegrin and metalloproteinase domain-containing protein 12 (Fragment),Ophiophagus hannah,8665,3,Clustered_Disintegrins,train
81,tr,A0A6J1V117,A0A6J1V117_9SAUR,Zinc metalloproteinase-disintegrin-like NaMP,Notechis scutatus,8663,4,Clustered_Disintegrins,train
82,tr,A0A6P9AUA9,A0A6P9AUA9_PANGU,Disintegrin and metalloproteinase domain-containing protein 9,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
83,tr,A0A6J1VLY3,A0A6J1VLY3_9SAUR,Disintegrin and metalloproteinase domain-containing protein 9,Notechis scutatus,8663,4,Clustered_Disintegrins,train
84,tr,A0A9F5IU93,A0A9F5IU93_PYTBI,Disintegrin and metalloproteinase domain-containing protein 9 isoform X1,Python bivittatus,176946,4,Clustered_Disintegrins,train
85,tr,A0A6J1U832,A0A6J1U832_9SAUR,Disintegrin and metalloproteinase domain-containing protein 20-like,Notechis scutatus,8663,4,Clustered_Disintegrins,train
86,tr,A0A670XV66,A0A670XV66_PSETE,Disintegrin and metalloproteinase domain-containing protein 20-like,Pseudonaja textilis,8673,4,Clustered_Disintegrins,train
87,tr,A0A6J1U7E5,A0A6J1U7E5_9SAUR,Disintegrin and metalloproteinase domain-containing protein 21-like,Notechis scutatus,8663,4,Clustered_Disintegrins,train
88,tr,A0A9F2KW25,A0A9F2KW25_PYTBI,Disintegrin and metalloproteinase domain-containing protein 20-like,Python bivittatus,176946,4,Clustered_Disintegrins,train
89,tr,A0A6P9DJE7,A0A6P9DJE7_PANGU,Disintegrin and metalloproteinase domain-containing protein 12 isoform X1,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
90,tr,A0A6P9D9D3,A0A6P9D9D3_PANGU,Disintegrin and metalloproteinase domain-containing protein 12 isoform X2,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
91,tr,A0A9F5MSP1,A0A9F5MSP1_PYTBI,LOW QUALITY PROTEIN: disintegrin and metalloproteinase domain-containing protein 20-like,Python bivittatus,176946,4,Clustered_Disintegrins,train
92,tr,A0A8C5RIM3,A0A8C5RIM3_LATLA,Disintegrin and metalloproteinase domain-containing protein 15,Laticauda laticaudata,8630,4,Clustered_Disintegrins,train
93,tr,A0A9F5J4G3,A0A9F5J4G3_PYTBI,Disintegrin and metalloproteinase domain-containing protein 17,Python bivittatus,176946,4,Clustered_Disintegrins,train
94,tr,A0A2D4NE72,A0A2D4NE72_9SAUR,Disintegrin domain-containing protein (Fragment),Micrurus spixii,129469,4,Clustered_Disintegrins,train
95,tr,A0A2D4H796,A0A2D4H796_MICLE,Disintegrin domain-containing protein (Fragment),Micrurus lemniscatus lemniscatus,129467,3,Clustered_Disintegrins,train
96,tr,A0A9F3QUN9,A0A9F3QUN9_PYTBI,Disintegrin and metalloproteinase domain-containing protein 10,Python bivittatus,176946,4,Clustered_Disintegrins,train
97,tr,V8P9I6,V8P9I6_OPHHA,Disintegrin and metalloproteinase domain-containing protein 17 (Fragment),Ophiophagus hannah,8665,3,Clustered_Disintegrins,train
98,tr,A0A2D4NYT4,A0A2D4NYT4_MICSU,Disintegrin domain-containing protein (Fragment),Micrurus surinamensis,129470,3,Clustered_Disintegrins,train
99,tr,V8NL69,V8NL69_OPHHA,Disintegrin and metalloproteinase domain-containing protein 10 (Fragment),Ophiophagus hannah,8665,4,Clustered_Disintegrins,train
100,tr,A0A2D4K4X3,A0A2D4K4X3_9SAUR,Disintegrin domain-containing protein (Fragment),Micrurus paraensis,1970185,4,Clustered_Disintegrins,val
101,tr,A0A2H6MYR1,A0A2H6MYR1_9SAUR,Disintegrin domain-containing protein (Fragment),Micrurus carvalhoi,3147026,4,Clustered_Disintegrins,train
102,tr,A0AAW1AP29,A0AAW1AP29_CROAD,Disintegrin and metalloproteinase domain-containing protein 15,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
103,tr,A0AAW1B0F2,A0AAW1B0F2_CROAD,Disintegrin and metalloproteinase domain-containing protein 9,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
104,tr,A0A223PK14,A0A223PK14_DABRR,Disintegrin and metalloproteinase domain-containing protein 11,Daboia russelii,8707,2,Clustered_Disintegrins,train
105,tr,A0AAW1B982,A0AAW1B982_CROAD,Disintegrin and metalloproteinase domain-containing protein 33,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
106,tr,A0AAW1B012,A0AAW1B012_CROAD,Disintegrin and metalloproteinase domain-containing protein 32,Crotalus adamanteus,8729,4,Clustered_Disintegrins,val
107,tr,A0AAW1BW52,A0AAW1BW52_CROAD,Disintegrin and metalloproteinase domain-containing protein 19,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
108,tr,V8NVY5,V8NVY5_OPHHA,Disintegrin and metalloproteinase domain-containing protein 11 (Fragment),Ophiophagus hannah,8665,3,Clustered_Disintegrins,train
109,tr,V8P328,V8P328_OPHHA,Disintegrin and metalloproteinase domain-containing protein 22 (Fragment),Ophiophagus hannah,8665,3,Clustered_Disintegrins,train
110,tr,A0AAW1BLM9,A0AAW1BLM9_CROAD,Disintegrin and metalloproteinase domain-containing protein 29-like,Crotalus adamanteus,8729,4,Clustered_Disintegrins,test
111,tr,A0AAW1C6Y2,A0AAW1C6Y2_CROAD,ADAM20: Disintegrin and metalloproteinase domain-containing protein 20,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
112,tr,A0AAW1BFF7,A0AAW1BFF7_CROAD,Disintegrin and metalloproteinase domain-containing protein 9-like,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
113,tr,A0AAW1BLL2,A0AAW1BLL2_CROAD,Disintegrin and metalloproteinase domain-containing protein 20-like,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
114,tr,V8NKR8,V8NKR8_OPHHA,Disintegrin and metalloproteinase domain-containing protein 28,Ophiophagus hannah,8665,3,Clustered_Disintegrins,val
115,tr,V8NC56,V8NC56_OPHHA,Disintegrin and metalloproteinase domain-containing protein 2 (Fragment),Ophiophagus hannah,8665,3,Clustered_Disintegrins,val
116,tr,V8PFL7,V8PFL7_OPHHA,Disintegrin and metalloproteinase domain-containing protein 23 (Fragment),Ophiophagus hannah,8665,3,Clustered_Disintegrins,val
117,tr,V8N6T1,V8N6T1_OPHHA,Disintegrin and metalloproteinase domain-containing protein 21 (Fragment),Ophiophagus hannah,8665,4,Clustered_Disintegrins,val
118,tr,A0A8C5RHX0,A0A8C5RHX0_LATLA,Disintegrin domain-containing protein,Laticauda laticaudata,8630,4,Clustered_Disintegrins,train
119,tr,A0A6H0D9K3,A0A6H0D9K3_CROHD,Metalloproteinase and disintegrin protein 4b,Crotalus horridus,35024,4,Clustered_Disintegrins,train
120,tr,A0A1W7RJM2,A0A1W7RJM2_AGKCO,A disintegrin and metalloproteinase with thrombospondin motifs 1,Agkistrodon contortrix contortrix,8713,4,Clustered_Disintegrins,train
121,tr,A0A6B2FHG6,A0A6B2FHG6_9SAUR,Disintegrin domain-containing protein,Bothriechis nubestris,1766655,4,Clustered_Disintegrins,train
122,tr,V8P032,V8P032_OPHHA,A disintegrin and metalloproteinase with thrombospondin motifs 1 (Fragment),Ophiophagus hannah,8665,4,Clustered_Disintegrins,train
123,tr,V8NZD2,V8NZD2_OPHHA,A disintegrin and metalloproteinase with thrombospondin motifs 8 (Fragment),Ophiophagus hannah,8665,4,Clustered_Disintegrins,train
124,tr,A0A6I9YBF4,A0A6I9YBF4_9SAUR,Snake venom metalloproteinase-disintegrin-like mocarhagin,Thamnophis sirtalis,35019,4,Clustered_Disintegrins,train
125,tr,A0A6I9Z3Y9,A0A6I9Z3Y9_9SAUR,Zinc metalloproteinase-disintegrin-like NaMP,Thamnophis sirtalis,35019,4,Clustered_Disintegrins,train
126,tr,A0A6P9AWJ4,A0A6P9AWJ4_PANGU,Zinc metalloproteinase-disintegrin-like NaMP,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
127,tr,A0AAW1AMS2,A0AAW1AMS2_CROAD,A disintegrin and metalloproteinase with thrombospondin motifs 4,Crotalus adamanteus,8729,4,Clustered_Disintegrins,test
128,tr,A0A6P9DNB3,A0A6P9DNB3_PANGU,Zinc metalloproteinase-disintegrin-like VMP-III,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
129,tr,V8N6X6,V8N6X6_OPHHA,A disintegrin and metalloproteinase with thrombospondin motifs 4 (Fragment),Ophiophagus hannah,8665,4,Clustered_Disintegrins,train
130,tr,A0A6I9YME4,A0A6I9YME4_9SAUR,Disintegrin and metalloproteinase domain-containing protein 28,Thamnophis sirtalis,35019,4,Clustered_Disintegrins,train
131,tr,A0A6J1U1P8,A0A6J1U1P8_9SAUR,Disintegrin and metalloproteinase domain-containing protein 12,Notechis scutatus,8663,4,Clustered_Disintegrins,train
132,tr,A0A6H0DBE3,A0A6H0DBE3_CROHD,Metalloproteinase disintegrin and cysteine-rich protein 6,Crotalus horridus,35024,4,Clustered_Disintegrins,test
133,tr,A0A6P9AVX1,A0A6P9AVX1_PANGU,Disintegrin and metalloproteinase domain-containing protein 15,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
134,tr,A0A6H0D994,A0A6H0D994_CROHD,Metalloproteinase disintegrin and cysteine-rich protein 8,Crotalus horridus,35024,4,Clustered_Disintegrins,train
135,tr,A0A9F5INE8,A0A9F5INE8_PYTBI,Disintegrin and metalloproteinase domain-containing protein 33,Python bivittatus,176946,4,Clustered_Disintegrins,val
136,tr,A0A6J1V116,A0A6J1V116_9SAUR,LOW QUALITY PROTEIN: zinc metalloproteinase-disintegrin-like NaMP,Notechis scutatus,8663,4,Clustered_Disintegrins,train
137,tr,A0A6I9YVG2,A0A6I9YVG2_9SAUR,Disintegrin and metalloproteinase domain-containing protein 21-like,Thamnophis sirtalis,35019,4,Clustered_Disintegrins,train
138,tr,A0A6P9AXX0,A0A6P9AXX0_PANGU,Disintegrin and metalloproteinase domain-containing protein 33-like,Pantherophis guttatus,94885,4,Clustered_Disintegrins,test
139,tr,A0A6P9AWV9,A0A6P9AWV9_PANGU,Disintegrin and metalloproteinase domain-containing protein 20-like,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
140,tr,A0A6P9CNF9,A0A6P9CNF9_PANGU,Disintegrin and metalloproteinase domain-containing protein 21-like,Pantherophis guttatus,94885,4,Clustered_Disintegrins,test
141,tr,A0A6P9DKK0,A0A6P9DKK0_PANGU,Disintegrin and metalloproteinase domain-containing protein 26A-like,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
142,tr,A0A9F5MYR7,A0A9F5MYR7_PYTBI,Disintegrin and metalloproteinase domain-containing protein 9-like,Python bivittatus,176946,4,Clustered_Disintegrins,train
143,tr,A0A9F2NCH3,A0A9F2NCH3_PYTBI,Disintegrin and metalloproteinase domain-containing protein 20-like,Python bivittatus,176946,4,Clustered_Disintegrins,train
144,tr,A0A9F5N2P8,A0A9F5N2P8_PYTBI,Disintegrin and metalloproteinase domain-containing protein 21-like,Python bivittatus,176946,4,Clustered_Disintegrins,train
145,tr,A0A6I9Z681,A0A6I9Z681_9SAUR,Zinc metalloproteinase-disintegrin-like MTP9,Thamnophis sirtalis,35019,4,Clustered_Disintegrins,test
146,tr,A0A6P9DN89,A0A6P9DN89_PANGU,Zinc metalloproteinase-disintegrin-like NaMP,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
147,tr,A0A6J1UH79,A0A6J1UH79_9SAUR,Zinc metalloproteinase-disintegrin-like MTP9,Notechis scutatus,8663,4,Clustered_Disintegrins,train
148,tr,A0A6I9Y427,A0A6I9Y427_9SAUR,Zinc metalloproteinase-disintegrin-like BmMP,Thamnophis sirtalis,35019,4,Clustered_Disintegrins,train
149,tr,A0A6P9AM21,A0A6P9AM21_PANGU,Disintegrin and metalloproteinase domain-containing protein 22 isoform X1,Pantherophis guttatus,94885,4,Clustered_Disintegrins,test
150,tr,A0A6P9BVN6,A0A6P9BVN6_PANGU,Disintegrin and metalloproteinase domain-containing protein 11 isoform X3,Pantherophis guttatus,94885,4,Clustered_Disintegrins,val
151,tr,A0A6I9YZ17,A0A6I9YZ17_9SAUR,Zinc metalloproteinase-disintegrin-like VLAIP-B,Thamnophis sirtalis,35019,4,Clustered_Disintegrins,train
152,tr,A0A9F3VZC3,A0A9F3VZC3_PYTBI,Disintegrin and metalloproteinase domain-containing protein 9-like isoform X2,Python bivittatus,176946,4,Clustered_Disintegrins,train
153,tr,A0A9F5J652,A0A9F5J652_PYTBI,Disintegrin and metalloproteinase domain-containing protein 15,Python bivittatus,176946,4,Clustered_Disintegrins,test
154,tr,A0A6J1VLQ1,A0A6J1VLQ1_9SAUR,Disintegrin and metalloproteinase domain-containing protein 5,Notechis scutatus,8663,4,Clustered_Disintegrins,train
155,tr,A0A9F5IUH2,A0A9F5IUH2_PYTBI,Disintegrin and metalloproteinase domain-containing protein 32,Python bivittatus,176946,4,Clustered_Disintegrins,train
156,tr,A0A9F5MX01,A0A9F5MX01_PYTBI,Disintegrin and metalloproteinase domain-containing protein 21-like,Python bivittatus,176946,4,Clustered_Disintegrins,train
157,tr,A0A9F5JBQ1,A0A9F5JBQ1_PYTBI,Disintegrin and metalloproteinase domain-containing protein 21-like,Python bivittatus,176946,4,Clustered_Disintegrins,train
158,tr,A0A9F5JFY3,A0A9F5JFY3_PYTBI,LOW QUALITY PROTEIN: zinc metalloproteinase-disintegrin-like NaMP,Python bivittatus,176946,4,Clustered_Disintegrins,train
159,tr,A0A6I9XD44,A0A6I9XD44_9SAUR,Disintegrin and metalloproteinase domain-containing protein 33-like,Thamnophis sirtalis,35019,4,Clustered_Disintegrins,train
160,tr,A0A6P9AUB4,A0A6P9AUB4_PANGU,Disintegrin and metalloproteinase domain-containing protein 32-like,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
161,tr,A0A9F3W0P3,A0A9F3W0P3_PYTBI,LOW QUALITY PROTEIN: zinc metalloproteinase-disintegrin-like NaMP,Python bivittatus,176946,4,Clustered_Disintegrins,val
162,tr,A0A6P9AWB9,A0A6P9AWB9_PANGU,Disintegrin and metalloproteinase domain-containing protein 2-like,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
163,tr,A0A6J1W854,A0A6J1W854_9SAUR,Disintegrin and metalloproteinase domain-containing protein 10-like,Notechis scutatus,8663,4,Clustered_Disintegrins,train
164,tr,A0A9F5IM86,A0A9F5IM86_PYTBI,Disintegrin and metalloproteinase domain-containing protein 2-like,Python bivittatus,176946,4,Clustered_Disintegrins,train
165,tr,A0A6P9CW99,A0A6P9CW99_PANGU,Disintegrin and metalloproteinase domain-containing protein 23 isoform X1,Pantherophis guttatus,94885,4,Clustered_Disintegrins,train
166,tr,A0AAW1ATC3,A0AAW1ATC3_CROAD,A disintegrin and metalloproteinase with thrombospondin motifs 18,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
167,tr,A0AAW1AS39,A0AAW1AS39_CROAD,A disintegrin and metalloproteinase with thrombospondin motifs 13,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
168,tr,A0AAW1B0W0,A0AAW1B0W0_CROAD,A disintegrin and metalloproteinase with thrombospondin motifs 15,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
169,tr,A0AAW1AR10,A0AAW1AR10_CROAD,Disintegrin and metalloproteinase domain-containing protein 9-like,Crotalus adamanteus,8729,4,Clustered_Disintegrins,train
